"SKU","Name","Wholesale","Retail","Category","Persona","Vendor","Image Src","Description"
"BV-018BLK","b-Vibe Snug & Tug Weighted Silicone & Penis Ring","27.50","60.50","Somatic Hardware > Mechanical","Alex","b-Vibe","/images/products/bv-018-1.jpg","Weighted ring and plug assembly. Gear, Not Medicine."
"BL92008","Blush Performance Plus Pursuit","6.50","14.30","Somatic Hardware > Mechanical","Alex","Blush","/images/products/bl92008-1.jpg","Tactile performance tool. Gear, Not Medicine."
"XRAH394","Creature Cocks Dragon Claw Silicone Dildo","63.93","140.65","Somatic Hardware > Mechanical","Alex","XR Brands","/images/products/xrah394-1.jpg","Textured fantasy silicone dildo. Gear, Not Medicine."
"DJ8160-38","Signature Cocks ULTRASKYN 8.5"" Girthmaster","46.01","101.22","Somatic Hardware > Mechanical","Alex","Williams Trading","/images/products/dj8160-1.jpg","Ultraskyn textured stroker. Gear, Not Medicine."
"IDDXTM-04","ID Xtreme Waterbased - 4.4 oz","8.48","18.66","Somatic Hardware > Lubricants","Alex","ID Lubricants","/images/products/iddxtm-04-1.jpg","High-performance water-based lubricant. Gear, Not Medicine."
"CRC-CLA-04","Clarity Glass Dildo - Celestial Orb","15.00","33.00","Somatic Hardware > Glass","Ken","Clarity Glass","/images/products/crc-cla-04-1.jpg","Precision glass insertable with orb tip. Gear, Not Medicine."
"CRC-CLA-24","Clarity Glass 3 Piece Kit - Utopian Trinity","20.00","44.00","Somatic Hardware > Glass","Ken","Clarity Glass","/images/products/crc-cla-24-1.jpg","Three-piece borosilicate glass set. Gear, Not Medicine."
"GLAS-508","Glas 10"" Mr. Swirly Dildo - Red","40.00","88.00","Somatic Hardware > Glass","Ken","Eldorado","/images/products/glas-508-1.jpg","Spiral fluted glass dildo. Gear, Not Medicine."
"XRAG251","7X Bendable Prostate Stimulator","58.09","127.80","Somatic Hardware > Mechanical","Ken","XR Brands","/images/products/xrag251-1.jpg","Bendable internal prostate stimulator. Gear, Not Medicine."
"BV-088","b-Vibe Jewel Metal Training Set","20.00","44.00","Somatic Hardware > Restraint","Ken","b-Vibe","/images/products/bv-088-1.jpg","Aluminum alloy plug training set. Gear, Not Medicine."
"VI-A0308","VeDO Hump Silicone Anal Plug","8.50","18.70","Somatic Hardware > Mechanical","Ken","VeDO","/images/products/vi-a0308-1.jpg","Ergonomic silicone plug. Gear, Not Medicine."
"WVSNVC4SG5","We-Vibe Vector+ - Royal Blue","55.88","122.94","Somatic Hardware > Mechanical","Ken","We-Vibe","/images/products/wvsnvc4sg5-1.jpg","App-connected targeted stimulator. Gear, Not Medicine."
"PLPC32037","Plesur Advanced 30mm Magnetic Ball Stretcher","40.00","88.00","Somatic Hardware > Restraint","Ken","Plesur","/images/products/plpc32037-1.jpg","Magnetic ball weight. Gear, Not Medicine."
"SE2385-00","Anti-Bacterial Toy Cleaner - 4.3 oz","4.85","10.67","Somatic Hardware > Hygiene","Ken","Williams Trading","/images/products/se2385-1.jpg","Sanitizing toy cleaner spray. Gear, Not Medicine."
"IDDFRB04","ID FREE Water Based Lubricant - 4.4 oz","9.50","20.90","Somatic Hardware > Lubricants","Ken","ID Lubricants","/images/products/iddfrb04-1.jpg","Hypoallergenic water-based lubricant. Gear, Not Medicine."
"NB001755","Nobu Galaxy Moon Plug","10.75","23.65","Somatic Hardware > Mechanical","Ken","Nobu","/images/products/nb001755-1.jpg","Textured silicone plug. Gear, Not Medicine."
"BV-098","b-Vibe Dart Silicone Anal Plug","15.00","33.00","Somatic Hardware > Mechanical","Ken","b-Vibe","/images/products/bv-098-1.jpg","Sleek tapered anal plug. Gear, Not Medicine."
"EN-DD-6238","Evolved real Supple Poseable Girthy","17.49","38.48","Somatic Hardware > Mechanical","Ken","Evolved","/images/products/en-dd-6238-1.jpg","Poseable internal dildo. Gear, Not Medicine."
"DJ0301-02","A Play Hybrid Anal Lubricant - 4 oz","10.62","23.36","Somatic Hardware > Lubricants","Ken","Williams Trading","/images/products/dj0301-1.jpg","Hybrid silicone-water lubricant. Gear, Not Medicine."
"SHTLVL010043TEA","Shots Levelz Set of 4 Cock & Ball Rings - Teal","21.95","48.29","Somatic Hardware > Restraint","Ken","Shots","/images/products/shtlvl-1.jpg","Silicone cock and ball ring set. Gear, Not Medicine."
"SE0414-00","Weighted Silicone Anal Plug - Black","5.45","11.99","Somatic Hardware > Mechanical","Marcus","Williams Trading","/images/products/se0414-1.jpg","Weighted silicone plug for endurance. Gear, Not Medicine."
"BV-048BLK","b-Vibe Expand Plug - Black","85.00","187.00","Somatic Hardware > Mechanical","Marcus","b-Vibe","/images/products/bv-048-1.jpg","Graduated expansion plug with remote control. Gear, Not Medicine."
"VI-A0108","VeDO Trio Anal Plug Set - Black","19.50","42.90","Somatic Hardware > Mechanical","Marcus","VeDO","/images/products/vi-a0108-1.jpg","Progressive plug set. Gear, Not Medicine."
"XRAG409","Master Series Ball Trap Metal Ball Stretcher","36.74","80.83","Somatic Hardware > Restraint","Marcus","XR Brands","/images/products/xrag409-1.jpg","Heavy metal ball stretcher. Gear, Not Medicine."
"PF-ER-25","ErgoFlo Director - Black","37.95","83.49","Somatic Hardware > Mechanical","Jasper","ErgoFlo","/images/products/pf-er-25-1.jpg","Advanced prostate and perineum massager. Gear, Not Medicine."
"BBGOLD","Boy Butter Gold Formula - 16 oz","44.99","98.98","Somatic Hardware > Lubricants","Jasper","Boy Butter","/images/products/bbgold-1.jpg","Rich cream lubricant and moisturizer. Gear, Not Medicine."
"6755-12","Swiss Navy Silicone Lubricant - 32 oz","79.99","175.98","Somatic Hardware > Lubricants","Jasper","Swiss Navy","/images/products/6755-12-1.jpg","Professional large-format silicone lubricant. Gear, Not Medicine."
"SS36001","Pivot Positioner SS360","115.00","253.00","Somatic Hardware > Positional","Gabe","Sportsheets","/images/products/ss36001-1.jpg","Positional support wedge and wedge system. Gear, Not Medicine."
"SS77016","Precision Sting Crop","45.00","99.00","Somatic Hardware > Impact","Gabe","Sportsheets","/images/products/ss77016-1.jpg","Precision leather impact crop. Gear, Not Medicine."
"SS09916","Shadow Full Hood","65.00","143.00","Somatic Hardware > Restraint","Gabe","Sportsheets","/images/products/ss09916-1.jpg","Sensory isolation hood with lockable hardware. Gear, Not Medicine."
"AH155-QP","Ultimate Obedience Chair","568.18","1250.00","Somatic Hardware > Positional","Simon","XR Brands","/images/products/ah155-1.jpg","Heavy-duty bondage throne with integrated machine. Gear, Not Medicine."
"AF596-QP","The Super Milker Automatic Stroker","131.36","289.00","Somatic Hardware > Mechanical","Simon","Sex Toy Distributing","/images/products/af596-1.jpg","Four-cylinder automatic stroker and suction suite. Gear, Not Medicine."
"AH354-QP","St. Andrew's Cross Deluxe","309.09","680.00","Somatic Hardware > Restraint","Simon","Sex Toy Distributing","/images/products/ah354-1.jpg","Free-standing adjustable restraint frame. Gear, Not Medicine."
"AH158-QP","Bareback Submission Horse","236.36","520.00","Somatic Hardware > Positional","Simon","Sex Toy Distributing","/images/products/ah158-1.jpg","Heavy-duty bondage bench with 6 attachment points. Gear, Not Medicine."
"CN1036-QP","Power Up Automatic Penis Pump","50.00","110.00","Somatic Hardware > Mechanical","Simon","Sex Toy Distributing","/images/products/cn1036-1.jpg","Rechargeable automatic vacuum pump. Gear, Not Medicine."
"AH409-QP","Pleasure Throne Oral Chair","222.73","490.00","Somatic Hardware > Positional","Simon","Sex Toy Distributing","/images/products/ah409-1.jpg","Adjustable oral sex chair with restraints. Gear, Not Medicine."
"AJ098-QP","King Size Dungeon Bed with Suspension Canopy","2725.00","5995.00","Somatic Hardware > Heavy Hardware","Simon","XR Brands","/images/products/aj098-1.jpg","Carbon steel bed frame with 24 D-rings and canopy. Gear, Not Medicine."
"AH700-QP","King West Industrial Bondage Bed Frame","1113.64","2450.00","Somatic Hardware > Heavy Hardware","Simon","Queer Pathways Logistics","/images/products/ah700-1.jpg","Heavy-duty steel canopy rigging bed frame. Gear, Not Medicine."
"QP-SIL-01","Sovereign Starter 1oz Silicone Lube","8.40","18.49","Somatic Hardware > Lubricants","All","Double Outsider Supply Co","/images/products/qp-sil-01-1.jpg","Entry-level trial volume silicone lubricant. Gear, Not Medicine."
"W26103","Wet Platinum Silicone Lube - 3.1 oz","6.81","14.99","Somatic Hardware > Lubricants","All","Wet","/images/products/w26103-1.jpg","Pure silicone long-lasting formula. Gear, Not Medicine."
"W26106","Wet Platinum Silicone Lube - 6.1 oz","9.08","19.99","Somatic Hardware > Lubricants","All","Wet","/images/products/w26106-1.jpg","Pure silicone long-lasting formula. Gear, Not Medicine."
"W20702","Wet Platinum Silicone Lube - 9 oz","16.81","36.99","Somatic Hardware > Lubricants","All","Wet","/images/products/w20702-1.jpg","Pure silicone long-lasting formula. Gear, Not Medicine."
"W20708","Wet Platinum Silicone Lube - 16 oz","27.26","59.99","Somatic Hardware > Lubricants","All","Wet","/images/products/w20708-1.jpg","Professional 16 oz pump bottle. Gear, Not Medicine."
"W20715","Wet Platinum Silicone Lube - 32 oz","52.26","114.99","Somatic Hardware > Lubricants","All","Wet","/images/products/w20715-1.jpg","High-capacity 32 oz container. Gear, Not Medicine."
"W20714","Wet Platinum Silicone Lube - 1 Gallon","159.08","349.99","Somatic Hardware > Lubricants","All","Wet","/images/products/w20714-1.jpg","Flagship 1 gallon bulk volume container. Gear, Not Medicine."
"WORIG310","Wet Original Water-Based Lube - 3.1 oz","4.54","9.99","Somatic Hardware > Lubricants","All","Wet","/images/products/worig310-1.jpg","Classic water-based formula. Gear, Not Medicine."
"WORIG610","Wet Original Water-Based Lube - 6.1 oz","7.72","16.99","Somatic Hardware > Lubricants","All","Wet","/images/products/worig610-1.jpg","Classic water-based formula. Gear, Not Medicine."
"WORIG9","Wet Original Water-Based Lube - 9 oz","15.90","34.99","Somatic Hardware > Lubricants","All","Wet","/images/products/worig9-1.jpg","Classic water-based formula. Gear, Not Medicine."
"WORIG16","Wet Original Water-Based Lube - 16 oz","24.99","54.99","Somatic Hardware > Lubricants","All","Wet","/images/products/worig16-1.jpg","Classic water-based formula. Gear, Not Medicine."
"W27202","Wet Hybrid Premium Blend Lube - 1 oz","4.08","8.99","Somatic Hardware > Lubricants","All","Wet","/images/products/w27202-1.jpg","Silicone and water hybrid blend. Gear, Not Medicine."
"W27204","Wet Hybrid Premium Blend Lube - 3.1 oz","6.35","13.99","Somatic Hardware > Lubricants","All","Wet","/images/products/w27204-1.jpg","Silicone and water hybrid blend. Gear, Not Medicine."
"W27208","Wet Hybrid Premium Blend Lube - 9 oz","12.72","27.99","Somatic Hardware > Lubricants","All","Wet","/images/products/w27208-1.jpg","Silicone and water hybrid blend. Gear, Not Medicine."
"W27209","Wet Hybrid Premium Blend Lube - 16 oz","20.44","44.99","Somatic Hardware > Lubricants","All","Wet","/images/products/w27209-1.jpg","Silicone and water hybrid blend. Gear, Not Medicine."
"BC-FDA8-2","Elbow Grease Fusion Deep Action Silicone - 8.4 oz","14.20","31.25","Somatic Hardware > Lubricants","All","Elbow Grease","/images/products/bc-fda8-2-1.jpg","Deep action silicone lubricant. Gear, Not Medicine."
"IDDXTM-04-2","ID Xtreme Waterbased - 4.4 oz","3.85","8.48","Somatic Hardware > Lubricants","All","ID Lubricants","/images/products/iddxtm-04-2-1.jpg","High-performance water-based lubricant. Gear, Not Medicine."
