king-cock-clear-8-balls,"King Cock Clear 8"" Cock w/Balls","
King Cock Clear 8 Inch with Balls
Clear silicone dildo with integrated testicles for depth play.
Gear, Not Medicine: This item is intended for personal somatic exploration and sensory scaffolding, not medical or therapeutic treatment.
Ships in 100% plain brown box packaging with neutral billing descriptor (QP LOGISTICS).
","King Cock","Products","Clear Dildo, Swinging Balls, Gear Not Medicine",TRUE,Title,Default Title,PD5756-20,1134,,10,deny,manual,52.99,,TRUE,TRUE,https://queerpathways.org/assets/products/PD5756-20.jpg,1,"King Cock Clear 8" Cock w/Balls","Clear silicone dildo with balls in 8 inch.",Lane One Retail,PaymentCloud NMI
king-cock-clear-8-balls-pink,"King Cock Clear 8"" Cock w/Balls - Pink","
King Cock Clear 8 Inch Pink with Balls
Pink translucent silicone dildo with integrated testicles for depth play.
Gear, Not Medicine: This item is intended for personal somatic exploration and sensory scaffolding, not medical or therapeutic treatment.
Ships in 100% plain brown box packaging with neutral billing descriptor (QP LOGISTICS).
","King Cock","Products","Pink Dildo, Translucent, Gear Not Medicine",TRUE,Title,Default Title,PD5756-11,1134,,10,deny,manual,47.99,,TRUE,TRUE,https://queerpathways.org/assets/products/PD5756-11.jpg,1,"King Cock Clear 8" Cock w/Balls - Pink","Pink translucent silicone dildo with balls in 8 inch.",Lane One Retail,PaymentCloud NMI
king-cock-clear-8-balls-purple,"King Cock Clear 8"" Cock w/Balls - Purple","
King Cock Clear 8 Inch Purple with Balls
Purple translucent silicone dildo with integrated testicles for depth play.
Gear, Not Medicine: This item is intended for personal somatic exploration and sensory scaffolding, not medical or therapeutic treatment.
Ships in 100% plain brown box packaging with neutral billing descriptor (QP LOGISTICS).
","King Cock","Products","Purple Dildo, Translucent, Gear Not Medicine",TRUE,Title,Default Title,PD5756-12,1134,,10,deny,manual,52.99,,TRUE,TRUE,https://queerpathways.org/assets/products/PD5756-12.jpg,1,"King Cock Clear 8" Cock w/Balls - Purple","Purple translucent silicone dildo with balls in 8 inch.",Lane One Retail,PaymentCloud NMI
king-cock-clear-9-balls,"King Cock Clear 9"" Cock w/Balls - Clear","
King Cock Clear 9 Inch with Balls
Clear silicone dildo with integrated testicles for depth play.
Gear, Not Medicine: This item is intended for personal somatic exploration and sensory scaffolding, not medical or therapeutic treatment.
Ships in 100% plain brown box packaging with neutral billing descriptor (QP LOGISTICS).
","King Cock","Products","Clear Dildo, Swinging Balls, Gear Not Medicine",TRUE,Title,Default Title,PD5758-20,1134,,10,deny,manual,52.99,,TRUE,TRUE,https://queerpathways.org/assets/products/PD5758-20.jpg,1,"King Cock Clear 9" Cock w/Balls - Clear","Clear silicone dildo with balls in 9 inch.",Lane One Retail,PaymentCloud NMI
king-cock-clear-9-balls-pink,"King Cock Clear 9"" Cock w/Balls - Pink","
King Cock Clear 9 Inch Pink with Balls
Pink translucent silicone dildo with integrated testicles for depth play.
Gear, Not Medicine: This item is intended for personal somatic exploration and sensory scaffolding, not medical or therapeutic treatment.
Ships in 100% plain brown box packaging with neutral billing descriptor (QP LOGISTICS).
","King Cock","Products","Pink Dildo, Translucent, Gear Not Medicine",TRUE,Title,Default Title,PD5758-11,1134,,10,deny,manual,57.99,,TRUE,TRUE,https://queerpathways.org/assets/products/PD5758-11.jpg,1,"King Cock Clear 9" Cock w/Balls - Pink","Pink translucent silicone dildo with balls in 9 inch.",Lane One Retail,PaymentCloud NMI
king-cock-clear-9-balls-purple,"King Cock Clear 9"" Cock w/Balls - Purple","
King Cock Clear 9 Inch Purple with Balls
Purple translucent silicone dildo with integrated testicles for depth play.
Gear, Not Medicine: This item is intended for personal somatic exploration and sensory scaffolding, not medical or therapeutic treatment.
Ships in 100% plain brown box packaging with neutral billing descriptor (QP LOGISTICS).
","King Cock","Products","Purple Dildo, Translucent, Gear Not Medicine",TRUE,Title,Default Title,PD5758-12,1134,,10,deny,manual,52.99,,TRUE,TRUE,https://queerpathways.org/assets/products/PD5758-12.jpg,1,"King Cock Clear 9" Cock w/Balls - Purple","Purple translucent silicone dildo with balls in 9 inch.",Lane One Retail,PaymentCloud NMI
king-cock-clear-large-double,"King Cock Clear Large Double Trouble Dildo - Clear","
King Cock Clear Large Double Trouble Dildo
Transparent dual-ended silicone dildo for simultaneous exploration.
Gear, Not Medicine: This item is intended for personal somatic exploration and sensory scaffolding, not medical or therapeutic treatment.
Ships in 100% plain brown box packaging with neutral billing descriptor (QP LOGISTICS).
","King Cock","Products","Double Dildo, Clear Dildo, Gear Not Medicine",TRUE,Title,Default Title,PD5787-20,1134,,10,deny,manual,53.99,,TRUE,TRUE,https://queerpathways.org/assets/products/PD5787-20.jpg,1,"King Cock Clear Large Double Trouble Dildo - Clear","Large transparent dual-ended silicone dildo.",Lane One Retail,PaymentCloud NMI
king-cock-clear-medium-double,"King Cock Clear Medium Double Trouble Dildo - Clear","
King Cock Clear Medium Double Trouble Dildo
Transparent dual-ended silicone dildo for simultaneous exploration.
Gear, Not Medicine: This item is intended for personal somatic exploration and sensory scaffolding, not medical or therapeutic treatment.
Ships in 100% plain brown box packaging with neutral billing descriptor (QP LOGISTICS).
","King Cock","Products","Double Dildo, Clear Dildo, Gear Not Medicine",TRUE,Title,Default Title,PD5786-20,794,,10,deny,manual,36.99,,TRUE,TRUE,https://queerpathways.org/assets/products/PD5786-20.jpg,1,"King Cock Clear Medium Double Trouble Dildo - Clear","Medium transparent dual-ended silicone dildo.",Lane One Retail,PaymentCloud NMI
king-cock-double-penetrator-flesh,"King Cock Double Penetrator - Flesh","
King Cock Double Penetrator
Dual-ended silicone penetrator in flesh tone designed for simultaneous exploration.
Gear, Not Medicine: This item is intended for personal somatic exploration and sensory scaffolding, not medical or therapeutic treatment.
Ships in 100% plain brown box packaging with neutral billing descriptor (QP LOGISTICS).
","King Cock","Products","Double Penetrator, Depth Play, Gear Not Medicine",TRUE,Title,Default Title,PD5512-21,1020,,10,deny,manual,52.99,,TRUE,TRUE,https://queerpathways.org/assets/products/PD5512-21.jpg,1,"King Cock Double Penetrator - Flesh","Dual-ended silicone penetrator in flesh tone.",Lane One Retail,PaymentCloud NMI
king-cock-plus-thrusting-pro,"King Cock Plus Thrusting Cock Pro - Light","
King Cock Plus Thrusting Cock Pro
Mechanical thrusting silicone dildo engineered for automated pacing and sensory exploration.
Gear, Not Medicine: This item is intended for personal somatic exploration and sensory scaffolding, not medical or therapeutic treatment.
Ships in 100% plain brown box packaging with neutral billing descriptor (QP LOGISTICS).
","King Cock","Products","Thrusting Dildo, Mechanical, Gear Not Medicine",TRUE,Title,Default Title,PD5740-21,1814,,10,deny,manual,142.99,,TRUE,TRUE,https://queerpathways.org/assets/products/PD5740-21.jpg,1,"King Cock Plus Thrusting Cock Pro - Light","Mechanical thrusting silicone dildo for automated pacing.",Lane One Retail,PaymentCloud NMI
king-cock-triple-threat-6-5,"King Cock Plus Thrusting, Warming & Vibrating 6.5" Triple Threat Dong","
King Cock Plus Triple Threat - 6.5 Inch
Multi-function silicone dildo featuring motorized thrusting, internal warming, and vibration modes.
Gear, Not Medicine: This item is intended for personal somatic exploration and sensory scaffolding, not medical or therapeutic treatment.
Ships in 100% plain brown box packaging with neutral billing descriptor (QP LOGISTICS).
","King Cock","Products","Thrusting, Warming, Vibrating, Gear Not Medicine",TRUE,Title,Default Title,PD5728-21,1360,,10,deny,manual,148.99,,TRUE,TRUE,https://queerpathways.org/assets/products/PD5728-21.jpg,1,"King Cock Plus Thrusting, Warming & Vibrating 6.5" Triple Threat Dong","Multi-function silicone dildo with thrusting, warming, and vibration.",Lane One Retail,PaymentCloud NMI
king-cock-triple-threat-7-5-brown,"King Cock Plus Thrusting, Warming & Vibrating 7.5" Triple Threat Dong - Brown","
King Cock Plus Triple Threat - 7.5 Inch Brown
Multi-function brown silicone dildo featuring motorized thrusting, internal warming, and vibration modes.
Gear, Not Medicine: This item is intended for personal somatic exploration and sensory scaffolding, not medical or therapeutic treatment.
Ships in 100% plain brown box packaging with neutral billing descriptor (QP LOGISTICS).
","King Cock","Products","Thrusting, Warming, Vibrating, Gear Not Medicine",TRUE,Title,Default Title,PD5728-29,1588,,10,deny,manual,159.99,,TRUE,TRUE,https://queerpathways.org/assets/products/PD5728-29.jpg,1,"King Cock Plus Thrusting, Warming & Vibrating 7.5" Triple Threat Dong - Brown","Multi-function brown silicone dildo with thrusting, warming, and vibration.",Lane One Retail,PaymentCloud NMI
king-cock-strapon-harness-6-flesh,"King Cock Strap-On Harness w/6" Cock - Flesh","
King Cock Strap-On Harness with 6 Inch Cock
Complete strap-on harness set including a 6 inch silicone dildo and adjustable supportive straps.
Gear, Not Medicine: This item is intended for personal somatic exploration and sensory scaffolding, not medical or therapeutic treatment.
Ships in 100% plain brown box packaging with neutral billing descriptor (QP LOGISTICS).
","King Cock","Products","Strap-On, Harness Set, Gear Not Medicine",TRUE,Title,Default Title,PD5621-21,1134,,10,deny,manual,70.99,,TRUE,TRUE,https://queerpathways.org/assets/products/PD5621-21.jpg,1,"King Cock Strap-On Harness w/6" Cock - Flesh","Complete strap-on harness set with 6 inch silicone dildo.",Lane One Retail,PaymentCloud NMI
king-cock-strapon-harness-6-tan,"King Cock Strap-On Harness w/6" Cock - Tan","
King Cock Strap-On Harness with 6 Inch Cock (Tan)
Complete strap-on harness set including a 6 inch tan silicone dildo and adjustable supportive straps.
Gear, Not Medicine: This item is intended for personal somatic exploration and sensory scaffolding, not medical or therapeutic treatment.
Ships in 100% plain brown box packaging with neutral billing descriptor (QP LOGISTICS).
","King Cock","Products","Strap-On, Harness Set, Gear Not Medicine",TRUE,Title,Default Title,PD5621-22,1134,,10,deny,manual,70.99,,TRUE,TRUE,https://queerpathways.org/assets/products/PD5621-22.jpg,1,"King Cock Strap-On Harness w/6" Cock - Tan","Complete strap-on harness set with 6 inch tan dildo.",Lane One Retail,PaymentCloud NMI
king-cock-strapon-harness-7-flesh,"King Cock Strap-On Harness w/7" Cock - Flesh","
King Cock Strap-On Harness with 7 Inch Cock
Complete strap-on harness set including a 7 inch silicone dildo and adjustable supportive straps.
Gear, Not Medicine: This item is intended for personal somatic exploration and sensory scaffolding, not medical or therapeutic treatment.
Ships in 100% plain brown box packaging with neutral billing descriptor (QP LOGISTICS).
","King Cock","Products","Strap-On, Harness Set, Gear Not Medicine",TRUE,Title,Default Title,PD5622-21,1247,,10,deny,manual,75.99,,TRUE,TRUE,https://queerpathways.org/assets/products/PD5622-21.jpg,1,"King Cock Strap-On Harness w/7" Cock - Flesh","Complete strap-on harness set with 7 inch silicone dildo.",Lane One Retail,PaymentCloud NMI
king-cock-strapon-harness-8-brown,"King Cock Strap-On Harness w/8" Cock - Brown","
King Cock Strap-On Harness with 8 Inch Cock (Brown)
Complete strap-on harness set including an 8 inch brown silicone dildo and adjustable supportive straps.
Gear, Not Medicine: This item is intended for personal somatic exploration and sensory scaffolding, not medical or therapeutic treatment.
Ships in 100% plain brown box packaging with neutral billing descriptor (QP LOGISTICS).
","King Cock","Products","Strap-On, Harness Set, Gear Not Medicine",TRUE,Title,Default Title,PD5623-29,1360,,10,deny,manual,81.49,,TRUE,TRUE,https://queerpathways.org/assets/products/PD5623-29.jpg,1,"King Cock Strap-On Harness w/8" Cock - Brown","Complete strap-on harness set with 8 inch brown dildo.",Lane One Retail,PaymentCloud NMI
king-cock-strapon-harness-8-flesh,"King Cock Strap-On Harness w/8" Cock - Flesh","
King Cock Strap-On Harness with 8 Inch Cock
Complete strap-on harness set including an 8 inch silicone dildo and adjustable supportive straps.
Gear, Not Medicine: This item is intended for personal somatic exploration and sensory scaffolding, not medical or therapeutic treatment.
Ships in 100% plain brown box packaging with neutral billing descriptor (QP LOGISTICS).
","King Cock","Products","Strap-On, Harness Set, Gear Not Medicine",TRUE,Title,Default Title,PD5623-21,1360,,10,deny,manual,81.49,,TRUE,TRUE,https://queerpathways.org/assets/products/PD5623-21.jpg,1,"King Cock Strap-On Harness w/8" Cock - Flesh","Complete strap-on harness set with 8 inch silicone dildo.",Lane One Retail,PaymentCloud NMI
king-cock-strapon-harness-8-tan,"King Cock Strap-On Harness w/8" Cock - Tan","
King Cock Strap-On Harness with 8 Inch Cock (Tan)
Complete strap-on harness set including an 8 inch tan silicone dildo and adjustable supportive straps.
Gear, Not Medicine: This item is intended for personal somatic exploration and sensory scaffolding, not medical or therapeutic treatment.
Ships in 100% plain brown box packaging with neutral billing descriptor (QP LOGISTICS).
","King Cock","Products","Strap-On, Harness Set, Gear Not Medicine",TRUE,Title,Default Title,PD5623-22,1360,,10,deny,manual,81.49,,TRUE,TRUE,https://queerpathways.org/assets/products/PD5623-22.jpg,1,"King Cock Strap-On Harness w/8" Cock - Tan","Complete strap-on harness set with 8 inch tan dildo.",Lane One Retail,PaymentCloud NMI


SKU,Name,Wholesale,Retail,Category,Persona,Vendor,Description
SE1514-25,Accommodator Dual Penetrator - Black,11.75,25.85,Products,Alex,Williams Trading,Dual penetrator with simultaneous vibration. Gear, Not Medicine.
IBIC1359,Alien Nation Centaur,45.00,99.00,Products,Alex,Eldorado,Advanced positional hardware. Gear, Not Medicine.
IBIC1350,Alien Nation Cerberus,27.50,60.50,Products,Alex,Eldorado,Multi-headed positional anchor. Gear, Not Medicine.
DJ5079-03,Belladonna's Bitch Fist,27.53,60.57,Products,Alex,Williams Trading,Textured fisting aid. Gear, Not Medicine.
BV-162,b-Vibe Fists 14.5" Fist-Style Realistic Dildo,25.00,55.00,Products,Alex,b-Vibe,Large-scale internal expansion tool. Gear, Not Medicine.
BV-058-CRM,b-Vibe Slipskin 9" Girthy - Cream,92.50,203.50,Products,Alex,b-Vibe,Textured silicone cylinder. Gear, Not Medicine.
DJ0300-16,A Play Expander Rechargeable Plug - Royal Blue,67.75,149.05,Products,Alex,Williams Trading,Graduated expansion plug with vibration. Gear, Not Medicine.
NX1254,Nexus Simul8 Black,43.50,95.70,Products,Alex,Nexus,Advanced mechanical tactile stimulator. Gear, Not Medicine.
GLAS-514,Glas 11" Fist Double Ended w/Handle Grip,35.00,77.00,Products,Alex,Eldorado,Double-ended glass cylinder. Gear, Not Medicine.
BC-FDA8,Elbow Grease Fusion Deep Action Silicone - 8.4 oz,31.25,68.75,Products,Alex,Elbow Grease,Deep action silicone lubricant. Gear, Not Medicine.
BV-018BLK,b-Vibe Snug & Tug Weighted Silicone & Penis Ring,27.50,60.50,Products,Alex,b-Vibe,Weighted ring and plug assembly. Gear, Not Medicine.
BL92008,Blush Performance Plus Pursuit,6.50,14.30,Products,Alex,Blush,Tactile performance tool. Gear, Not Medicine.
XRAH394,Creature Cocks Dragon Claw Silicone Dildo,63.93,140.65,Products,Alex,XR Brands,Textured fantasy silicone dildo. Gear, Not Medicine.
DJ8160-38,Signature Cocks ULTRASKYN 8.5" Girthmaster,46.01,101.22,Products,Alex,Williams Trading,Ultraskyn textured stroker. Gear, Not Medicine.
IDDXTM-04,ID Xtreme Waterbased - 4.4 oz,8.48,18.66,Products,Alex,ID Lubricants,High-performance water-based lubricant. Gear, Not Medicine.
CRC-CLA-04,Clarity Glass Dildo - Celestial Orb,15.00,33.00,Products,Ken,Clarity Glass,Precision glass insertable with orb tip. Gear, Not Medicine.
CRC-CLA-24,Clarity Glass 3 Piece Kit - Utopian Trinity,20.00,44.00,Products,Ken,Clarity Glass,Three-piece borosilicate glass set. Gear, Not Medicine.
GLAS-508,Glas 10" Mr. Swirly Dildo - Red,40.00,88.00,Products,Ken,Eldorado,Spiral fluted glass dildo. Gear, Not Medicine.
XRAG251,7X Bendable Prostate Stimulator,58.09,127.80,Products,Ken,XR Brands,Bendable internal prostate stimulator. Gear, Not Medicine.
BV-088,b-Vibe Jewel Metal Training Set,20.00,44.00,Products,Ken,b-Vibe,Aluminum alloy plug training set. Gear, Not Medicine.
VI-A0308,VeDO Hump Silicone Anal Plug,8.50,18.70,Products,Ken,VeDO,Ergonomic silicone plug. Gear, Not Medicine.
WVSNVC4SG5,We-Vibe Vector+ - Royal Blue,55.88,122.94,Products,Ken,We-Vibe,App-connected targeted stimulator. Gear, Not Medicine.
PLPC32037,Plesur Advanced 30mm Magnetic Ball Stretcher,40.00,88.00,Products,Ken,Plesur,Magnetic ball weight. Gear, Not Medicine.
SE2385-00,Anti-Bacterial Toy Cleaner - 4.3 oz,4.85,10.67,Products,Ken,Williams Trading,Sanitizing toy cleaner spray. Gear, Not Medicine.
IDDFRB04,ID FREE Water Based Lubricant - 4.4 oz,9.50,20.90,Products,Ken,ID Lubricants,Hypoallergenic water-based lubricant. Gear, Not Medicine.
NB001755,Nobu Galaxy Moon Plug,10.75,23.65,Products,Ken,Nobu,Textured silicone plug. Gear, Not Medicine.
